filename,split
5_IM-2117-1003002.dcm.png,train
9_IM-2407-1001.dcm.png,train
10_IM-0002-2001.dcm.png,train
12_IM-0133-1001.dcm.png,train
13_IM-0198-1001.dcm.png,train
14_IM-0256-1001.dcm.png,train
17_IM-0460-2001.dcm.png,train
18_IM-0520-1001.dcm.png,train
20_IM-0653-1001.dcm.png,train
22_IM-0810-1001.dcm.png,train
23_IM-0879-1001.dcm.png,train
24_IM-0949-1001.dcm.png,train
25_IM-1024-2001.dcm.png,train
27_IM-1168-2002.dcm.png,train
28_IM-1231-1001.dcm.png,train
30_IM-1385-1001.dcm.png,train
32_IM-1511-1001.dcm.png,train
33_IM-1576-13013.dcm.png,train
34_IM-1644-1001.dcm.png,train
35_IM-1704-1001.dcm.png,train
36_IM-1776-1001.dcm.png,train
37_IM-1847-0001-0002.dcm.png,train
38_IM-1911-1001.dcm.png,train
41_IM-2055-1001.dcm.png,train
43_IM-2070-1001.dcm.png,train
44_IM-2078-1001.dcm.png,train
45_IM-2081-1001.dcm.png,train
48_IM-2103-1001.dcm.png,train
50_IM-2118-2001.dcm.png,train
51_IM-2125-1001.dcm.png,train
53_IM-2138-1001.dcm.png,train
54_IM-2145-1001.dcm.png,train
55_IM-2154-1001.dcm.png,train
56_IM-2160-2002.dcm.png,train
57_IM-2170-1001-0002.dcm.png,train
59_IM-2184-1001.dcm.png,train
60_IM-2192-1001.dcm.png,train
63_IM-2210-0001-0001.dcm.png,train
65_IM-2228-4004.dcm.png,train
66_IM-2236-1001.dcm.png,train
69_IM-2258-1001.dcm.png,train
70_IM-2264-3001.dcm.png,train
72_IM-2280-1001.dcm.png,train
75_IM-2303-1001.dcm.png,train
76_IM-2309-1001.dcm.png,train
79_IM-2329-1001.dcm.png,train
80_IM-2333-1001.dcm.png,train
80_IM-2333-3001.dcm.png,train
82_IM-2350-3001.dcm.png,train
84_IM-2363-1001.dcm.png,train
85_IM-2372-1001.dcm.png,train
89_IM-2402-1001.dcm.png,train
91_IM-2415-2001.dcm.png,train
94_IM-2436-1001.dcm.png,train
95_IM-2445-1001.dcm.png,train
96_IM-2450-2002.dcm.png,train
97_IM-2460-1001.dcm.png,train
98_IM-2467-4004.dcm.png,train
100_IM-0002-1001.dcm.png,train
101_IM-0011-4004.dcm.png,train
102_IM-0016-1001.dcm.png,train
103_IM-0023-1001.dcm.png,train
106_IM-0042-1001.dcm.png,train
107_IM-0049-1001.dcm.png,train
108_IM-0056-1001.dcm.png,train
110_IM-0067-1001.dcm.png,train
113_IM-0086-1001.dcm.png,train
113_IM-0086-3001.dcm.png,train
114_IM-0096-1001.dcm.png,train
115_IM-0102-1001.dcm.png,train
119_IM-0128-1001.dcm.png,train
120_IM-0133-1001.dcm.png,train
121_IM-0142-1001.dcm.png,train
123_IM-0153-4004.dcm.png,train
126_IM-0176-2002.dcm.png,train
131_IM-0202-1001.dcm.png,train
132_IM-0206-1001.dcm.png,train
133_IM-0212-1001.dcm.png,train
134_IM-0219-1001.dcm.png,train
135_IM-0227-1001.dcm.png,train
136_IM-0233-1001.dcm.png,train
138_IM-0244-1001.dcm.png,train
139_IM-0248-1001.dcm.png,train
143_IM-0276-1001.dcm.png,train
145_IM-0290-1001.dcm.png,train
147_IM-0303-1001.dcm.png,train
150_IM-0325-0001-0001.dcm.png,train
151_IM-0331-1001.dcm.png,train
152_IM-0335-2001.dcm.png,train
153_IM-0343-1001.dcm.png,train
154_IM-0350-1001.dcm.png,train
157_IM-0372-1001.dcm.png,train
158_IM-0377-1001.dcm.png,train
160_IM-0390-1001.dcm.png,train
161_IM-0394-1001.dcm.png,train
162_IM-0401-1001.dcm.png,train
163_IM-0410-12012.dcm.png,train
163_IM-0410-2002.dcm.png,train
164_IM-0419-1001.dcm.png,train
166_IM-0435-2002.dcm.png,train
167_IM-0441-1001.dcm.png,train
168_IM-0448-1001.dcm.png,train
169_IM-0452-1001.dcm.png,train
172_IM-0474-1001.dcm.png,train
173_IM-0481-1001.dcm.png,train
174_IM-0488-1001.dcm.png,train
176_IM-0496-1001.dcm.png,train
178_IM-0509-2001.dcm.png,train
183_IM-0537-1001.dcm.png,train
184_IM-0544-1001.dcm.png,train
185_IM-0551-1001.dcm.png,train
186_IM-0558-1001.dcm.png,train
187_IM-0563-1001.dcm.png,train
189_IM-0578-1001.dcm.png,train
192_IM-0598-1001.dcm.png,train
193_IM-0601-1001.dcm.png,train
194_IM-0609-2001.dcm.png,train
197_IM-0631-1001.dcm.png,train
203_IM-0675-1001.dcm.png,train
204_IM-0683-1001.dcm.png,train
207_IM-0703-1001.dcm.png,train
211_IM-0740-1001.dcm.png,train
212_IM-0746-1001-0001.dcm.png,train
212_IM-0746-1001-0002.dcm.png,train
215_IM-0769-1001.dcm.png,train
216_IM-0777-2001.dcm.png,train
219_IM-0799-1001.dcm.png,train
220_IM-0811-1001.dcm.png,train
221_IM-0817-1001.dcm.png,train
